FRED Graph Observations;;;;
Federal Reserve Economic Data;;;;
Link: https://fred.stlouisfed.org;;;;
Help: https://fredhelp.stlouisfed.org;;;;
Economic Research Division;;;;
Federal Reserve Bank of St. Louis;;;;
;;;;
NXRSAXDCBRQ;Real Exports of Goods and Services for Brazil, Domestic Currency, Quarterly, Seasonally Adjusted;;;
;;;;
Frequency: Quarterly;;;;
observation_date;EXPORTAÇÃO ;IMPORTAÇÃO;PIB;trade intensity 
2002Q1;20002,2;17447,1;202789,1;0,184671168
2002Q2;18406,5;17162,8;203550,2;0,174744608
2002Q3;23420,9;17187,1;206079,3;0,197050359
2002Q4;23464,5;16379,2;208093,8;0,191469904
2003Q1;22848,8;16488,6;207427,2;0,189644367
2003Q2;23513,7;16470,4;205712,7;0,194368651
2003Q3;23819,6;16551,6;207397,7;0,194655968
2003Q4;24622,4;18219,6;209563,8;0,204434163
2004Q1;25801,2;18091;212705;0,20635246
2004Q2;26680,1;18521;218449,6;0,206917751
2004Q3;27193;18691,3;221075,5;0,207550362
2004Q4;28007,3;19370,6;222929,3;0,212524329
2005Q1;29229,6;19694,2;224808,1;0,217624721
2005Q2;29707,2;20144,6;227357,8;0,219265844
2005Q3;30144,9;20047,8;225837,8;0,222251102
2005Q4;30661;20343,7;229040,5;0,222688564
2006Q1;31068,7;22655,6;232338,4;0,231232977
2006Q2;29123,7;22875,8;233303,9;0,222883115
2006Q3;33063,1;24019,7;237088;0,240766298
2006Q4;32205,5;24815,7;240117,7;0,237471873
2007Q1;33152,4;27143,5;244330,8;0,246779776
2007Q2;32605,8;27017,6;248570,9;0,239864763
2007Q3;33237;28540,3;251058,1;0,246067743
2007Q4;33512,8;30095,1;254804,5;0,249634131
2008Q1;32868,5;31492,4;258207,2;0,249260671
2008Q2;34239,8;33440,8;263481,8;0,256870114
2008Q3;33550,8;34630,9;267392,1;0,254987713
2008Q4;31609,2;32473,1;257467,7;0,248894522
2009Q1;29671,1;27534,7;254045,5;0,225179348
2009Q2;30652,8;29172,1;258481,8;0,231447243
2009Q3;30141,3;30704,3;264568,1;0,229980863
2009Q4;30422,3;34430,3;271228;0,239107319
2010Q1;33498,6;38376,3;277076,8;0,259404252
2010Q2;33014,3;39497,7;280519,8;0,258491557
2010Q3;34033,4;42426;283004,6;0,270170167
2010Q4;34369,1;42800,3;286880,3;0,268995117
2011Q1;34831,5;42774,5;291091,8;0,266603182
2011Q2;35198,8;44874,4;293667,3;0,272666381
2011Q3;35893,4;45192,8;293195,4;0,276560273
2011Q4;36175,5;45864,8;295890,5;0,277265745
2012Q1;35817,8;45329,3;291836,6;0,278056625
2012Q2;34648,9;45846,6;296813,7;0,271198735
2012Q3;35344,3;42972,9;301975,2;0,259349774
2012Q4;36531,9;46863,3;302161,7;0,27599527
2013Q1;35377,2;48024,2;303634,1;0,274677317
2013Q2;36217,1;48909,5;308056,3;0,276334553
2013Q3;35653;47915,1;309313,6;0,270172731
2013Q4;38161,3;48192,7;309869,4;0,278678695
2014Q1;36016,5;47522,1;312204,5;0,26757654
2014Q2;35425,9;47027,4;308084,7;0,267631921
2014Q3;37151,5;48290;307796,8;0,277590605
2014Q4;34758,2;45763;309138,1;0,260469997
2015Q1;36897;44512,6;306628,3;0,265499303
2015Q2;38347,6;42235,6;299652,3;0,268922348
2015Q3;38110;38569,1;294990,2;0,259937788
2015Q4;39639,6;36747,3;292128,7;0,261483723
2016Q1;39482,5;34593,7;288095,6;0,257123677
2016Q2;39476,5;38138,2;288998,4;0,268564463
2016Q3;37695,2;35740,8;287604;0,2553372
2016Q4;37277,4;36524,6;287231,3;0,25694275
2017Q1;39827,5;38295,6;290027,2;0,269364735
2017Q2;40651,5;38060,9;292294,8;0,26929114
2017Q3;41431,4;38299,3;293413;0,271735404
2017Q4;40149;40003,3;294936,7;0,271761025
2018Q1;41718,7;40923,2;296297,3;0,278915468
2018Q2;39890,9;40491,3;296372,6;0,271220079
2018Q3;42490,8;43405,9;299196,4;0,287091355
2018Q4;43732,9;41677,6;298243,2;0,2863787
2019Q1;41872,5;39668,5;299065,7;0,272652464
2019Q2;40072,8;42668,4;301140,9;0,274759091
2019Q3;40315,1;44495,3;301179,6;0,281594105
2019Q4;41391,2;41898,2;303216,3;0,27468642
2020Q1;40051,3;42209,8;296349,7;0,277581182
2020Q2;39715,8;36610,6;270773,2;0,281883141
2020Q3;39758,5;33625,4;292269,3;0,251083162
2020Q4;39650,6;40482,3;302228,7;0,265139942
2021Q1;41452,2;45318,4;304818,3;0,284663355
2021Q2;45252,9;43723,9;304244,4;0,292451726
2021Q3;41605,3;40757,3;305503,4;0,269596345
2021Q4;41181;41635,3;308978,9;0,268032218
2022Q1;44713,7;40739,3;311913,8;0,273963512
2022Q2;42855,7;42982,1;315147,2;0,272373672
2022Q3;45191,6;45205,5;316560,9;0,285559903
2022Q4;46755,1;43515,8;316848;0,284902856
2023Q1;46876,6;41825,3;322635,4;0,274929224
2023Q2;48213,4;43723,5;325566,6;0,282390454
