X0.6...hiatou_br;hiato_fplts
-0,001182726;-0,008230556
-0,003043563;-0,008477359
-0,003064019;-0,007246825
-0,000604946;-0,003859772
0,001877969;-0,000695296
0,006591026;0,004551962
0,006447152;0,004896477
0,01105119;0,010027902
0,014613132;0,014214356
0,008049876;0,008382667
-0,005477286;-0,004361316
-0,011362127;-0,009503634
-0,00664467;-0,004161236
-0,005258195;-0,002309386
-0,010099996;-0,006865394
-0,00535724;-0,002019355
0,003531959;0,006812216
-0,005777812;-0,002690864
-0,013918558;-0,011156065
-0,003916234;-0,001592348
0,001746927;0,003572801
-0,000520102;0,000810904
0,004169518;0,005059457
0,006908701;0,007450518
0,008604254;0,008905381
0,002285438;0,002429377
-0,006984115;-0,006975599
-0,010529239;-0,010704421
-0,003277981;-0,003724892
-0,004249769;-0,005053822
-0,001963027;-0,003179428
-0,000911322;-0,002542792
0,002989306;0,001011041
0,00385321;0,001676665
0,006186314;0,004039514
0,012346683;0,010528671
0,016580673;0,015438188
0,016230994;0,016108672
0,016072781;0,017240497
-0,002853407;-0,000283682
-0,030411762;-0,02656014
-0,028833475;-0,024045095
-0,022650073;-0,017391065
-0,011932779;-0,006676205
-0,005207369;-0,000354524
0,001826282;0,005979809
0,002082189;0,00534294
0,004066623;0,006314704
0,001313309;0,002471432
0,00364737;0,003653431
8,89602E-05;-0,001122585
-0,00195622;-0,004466697
-0,00137677;-0,005279306
-0,000362026;-0,005740028
0,002561186;-0,004337064
0,002715045;-0,005680122
0,011263307;0,001491883
0,015227287;0,00432233
0,01867907;0,007011212
0,022653889;0,010709815
0,028285625;0,016642584
0,025336608;0,014616545
0,015359786;0,006159362
0,014625517;0,007453924
0,011310546;0,005143668
0,000692281;-0,007061437
-0,00815241;-0,017272182
-0,010821194;-0,022094785
-0,016282734;-0,031742233
-0,016678791;-0,036185764
-0,017797237;-0,041108164
-0,023238181;-0,050055781
-0,018310692;-0,048295079
-0,014238352;-0,047021737
-0,01041962;-0,04561813
-0,006894024;-0,044117022
-9,04763E-05;-0,038947498
0,006897644;-0,033207829
0,00807823;-0,032895436
0,004525217;-0,036937676
-0,000942714;-0,042512391
0,003084663;-0,038203379
0,006889419;-0,033723525
0,004953737;-0,034584024
0,006162252;-0,031889676
-0,086944312;-0,12308647
-0,019868958;-0,053660652
-0,00349909;-0,034531922
-0,005693586;-0,033603248
-0,012876228;-0,037343804
0,001677094;-0,019077705
0,007436141;-0,009390867
0,008843381;-0,003894834
0,016266417;0,007729108
0,022273614;0,015784566
0,011431622;0,007189623
0,001935926;0,001769021
0,007979425;0,008009826
0,009047163;0,009082444
