data;pnad;uci;
1999Q1;9,739988037;79,56666667;
1999Q2;9,87608791;79,36666667;
1999Q3;10,21349207;79,8;
1999Q4;10,5491889;80,73333333;
2000Q1;10,65437842;81,36666667;
2000Q2;10,37683683;81,93333333;
2000Q3;10,21722769;81,66666667;
2000Q4;9,836185225;82,06666667;
2001Q1;9,342034728;82,1;
2001Q2;9,783756612;81,33333333;
2001Q3;9,878567287;78,73333333;
2001Q4;10,51328398;78,4;
2002Q1;10,63843871;79,5;
2002Q2;9,912374186;78,83333333;
2002Q3;9,868921178;77,86666667;
2002Q4;9,597838359;78,5;
2003Q1;9,613915227;80,36666667;
2003Q2;10,10807166;79,26666667;
2003Q3;10,44908859;78,23333333;
2003Q4;10,23258474;80,06666667;
2004Q1;10,08194959;81,16666667;
2004Q2;10,19186751;81,03333333;
2004Q3;9,741284013;81,56666667;
2004Q4;9,914004454;82,56666667;
2005Q1;10,01269306;83,26666667;
2005Q2;9,833475224;81,93333333;
2005Q3;9,90258058;80,36666667;
2005Q4;10,21647729;80,3;
2006Q1;9,797552077;81,43333333;
2006Q2;9,570750512;81,16666667;
2006Q3;9,542429048;81,83333333;
2006Q4;9,084103626;81,66666667;
2007Q1;9,033306673;82,63333333;
2007Q2;9,149737658;83,2;
2007Q3;9,024880191;83,73333333;
2007Q4;8,613529493;84,66666667;
2008Q1;8,284119278;85,3;
2008Q2;7,922432262;84,9;
2008Q3;7,949496171;85,06666667;
2008Q4;8,388287686;81,86666667;
2009Q1;9,006666667;77,33333333;
2009Q2;9,23;78,06666667;
2009Q3;9,13;79,3;
2009Q4;9,246666667;81,76666667;
2010Q1;8,8;82,7;
2010Q2;8,616666667;84,06666667;
2010Q3;8,476666667;84,06666667;
2010Q4;8,086666667;84,06666667;
2011Q1;7,83;83,23333333;
2011Q2;7,623333333;83,5;
2011Q3;7,486666667;82,6;
2011Q4;7,416666667;82,06666667;
2012Q1;7,476666667;82,2;
2012Q2;7,433333333;82,23333333;
2012Q3;7,313333333;82,5;
2012Q4;7,293333333;82,26666667;
2013Q1;7,613333333;84,16666667;
2013Q2;7,433333333;84,36666667;
2013Q3;7,17;84,26666667;
2013Q4;6,933333333;84,23333333;
2014Q1;6,743333333;84,53333333;
2014Q2;6,833333333;83,33333333;
2014Q3;6,933333333;80,66666667;
2014Q4;6,99;79,8;
2015Q1;7,366666667;78,8;
2015Q2;8,026666667;76,73333333;
2015Q3;8,836666667;75,23333333;
2015Q4;9,546666667;74,8;
2016Q1;10,19333333;73,8;
2016Q2;11,01666667;74;
2016Q3;11,79666667;74,06666667;
2016Q4;12,60333333;73,43333333;
2017Q1;13,13333333;74,43333333;
2017Q2;13,02666667;74,53333333;
2017Q3;12,66666667;74,33333333;
2017Q4;12,65666667;74,6;
2018Q1;12,57666667;75,46666667;
2018Q2;12,45666667;76,4;
2018Q3;12,20666667;76,13333333;
2018Q4;12,28333333;75,46666667;
2019Q1;12,39666667;74,56666667;
2019Q2;12,05333333;74,93333333;
2019Q3;11,89;75,56666667;
2019Q4;11,88666667;75,4;
2020Q1;11,75;75,73333333; 
2020Q2;12,81333333;61,4;
2020Q3;14,54333333;75,26666667;
2020Q4;15,00666667;79,6;
2021Q1;14,51666667;79,1;
2021Q2;14,22666667;77,96666667;
2021Q3;13,08;80;
2021Q4;12,08;80,56666667;
2022Q1;11,05;80,26666667;
2022Q2;9,61;80,66666667;
2022Q3;8,87;81,76;
2022Q4;8,54;80;
2023Q1;8,43;78,83;
2023Q2;8,05;80,4;
2023Q3;7,8;81,16;
